gene,logfoldchanges,pvals_adj
LINC01843,2.1363103,7.82E-13
EDARADD,2.2340567,3.70E-12
AC092793.1,29.810751,8.03E-12
AP001056.2,4.1749496,7.03E-12
FUT2,2.314744,5.04E-12
FAM181B,2.8884215,6.67E-12
TRIM36,2.3661413,6.02E-12
NMU,2.1325176,1.53E-11
CDCA7L,2.0843306,2.23E-11
LINC02544,4.464383,4.22E-11
NUDT10,3.0164642,5.14E-11
SAMD13,2.669877,1.20E-10
GJB5,2.314025,1.37E-10
SDR42E1,3.376929,2.18E-10
CRLF1,3.4186027,2.95E-10
BMP4,2.0506418,2.70E-10
SMCR2,3.7336316,3.61E-10
AL118522.1,2.2911866,3.51E-10
AC144831.1,2.1111696,4.45E-10
C5orf46,2.8375754,3.57E-09
OR2B6,2.4991841,4.04E-09
AC114296.1,2.1106067,5.09E-09
WNT5A,2.301662,9.04E-09
C12orf40,3.4804688,1.34E-08
GRP,2.8402193,1.82E-08
FAM155A,2.0119977,2.18E-08
PLPP4,2.4788296,3.12E-08
IL19,3.7222967,4.03E-08
KCNH1,3.118205,1.03E-07
LINC02620,2.8354008,1.61E-07
HNF4G,2.9204736,1.60E-07
AC245297.2,2.5779967,3.42E-07
IL24,2.064507,3.42E-07
USP2,2.1720393,5.80E-07
NXPH4,2.02861,9.66E-07
PRSS53,2.0080128,6.35E-06
ACY3,2.8022714,7.50E-06
AC012470.1,2.631712,7.62E-06
AP001059.3,3.4005046,9.75E-06
TREM1,2.5387182,1.07E-05
ULBP2,3.072462,1.30E-05
AC020922.4,2.6480622,1.39E-05
CNTN1,2.6059484,2.90E-05
LINC01924,27.940123,4.11E-05
WNT7A,3.4226024,4.51E-05
HS3ST5,3.2947063,5.40E-05
AP001107.9,3.314994,7.70E-05
FYB2,3.5023012,8.85E-05
ARSI,2.8959744,8.68E-05
FAM72A,2.357989,9.54E-05
PTH2,2.9995553,0.000109056
AL138927.1,28.80783,0.000117688
SYNPO2L,2.187034,0.000137044
IGHEP1,3.125004,0.000141715
PROB1,2.4764895,0.000142881
AC018695.6,2.2381086,0.000251775
ZNF229,3.0903244,0.000276496
AP001059.2,2.176196,0.000429547
MCIDAS,4.2596545,0.00047764
ERCC6L,2.0097785,0.000630917
LINC01351,2.9403286,0.000667924
GHRH,2.6499972,0.000706929
SNHG22,2.189627,0.000884672
LINC00630,4.037621,0.00103876
CEACAM5,2.581688,0.001091776
FUT9,2.025937,0.001092323
KLK4,3.268111,0.001205444
PRELID2,2.0704095,0.001270652
AC006238.1,28.34674,0.001355156
FAM83B,3.846926,0.001914031
IGSF21,2.075729,0.00195959
FREM2,2.8047175,0.002036574
CALCA,4.125738,0.002688954
HIST2H2AB,2.5666897,0.002727517
SLC24A2,2.6738434,0.002976821
ADNP-AS1,2.9486735,0.004143627
MUC13,2.1873233,0.004517693
DNASE2B,27.787262,0.00482278
ADAMTS16,2.6552873,0.00545079
LINC00644,27.957201,0.00601649
KCNQ4,2.4580677,0.006269339
ADAMTSL4-AS1,2.1612413,0.006319861
SHISA6,27.435404,0.006874958
ZSCAN20,3.049819,0.007321114
RAET1E-AS1,26.557867,0.007453387
AC007950.2,26.98309,0.007692208
LINC02649,2.0713403,0.007572337
NRAP,3.6998553,0.007927817
SLC16A10,2.1580956,0.008074207
ULBP3,26.887907,0.008348732
AL603910.1,3.8878288,0.008758154
ADAMTS5,2.179669,0.008802943
AC099518.6,2.416798,0.008945887
TRIM72,3.483545,0.009504745
AP006565.1,27.770618,0.010036893
LINC00852,2.135655,0.009965539
AL355385.1,27.668339,0.010297775
SPDYE16,3.5723438,0.01024729
REP15,2.9022787,0.010913517
PSPC1-AS2,2.3421745,0.011416603
PKD2L1,2.5100937,0.011473054
HIST1H2BF,3.412464,0.012531637
ENTPD3,27.003595,0.013040696
AC069148.1,3.4399774,0.013358903
DLEC1,27.299847,0.013591752
LINC01290,27.122057,0.014107806
AC006111.2,2.4828844,0.014474077
AL445649.1,2.0952308,0.014528573
LINC01929,2.2999475,0.014880627
LAMA1,2.4136708,0.015418807
AL513128.1,27.628935,0.016168064
AC073352.1,2.8926907,0.016173883
AC253572.2,2.1164167,0.016445088
MT3,3.588819,0.016821026
EPB41L4A-DT,2.5066822,0.017050718
AC002310.2,27.465328,0.017656989
AC005046.1,2.8042724,0.019280571
FOXD4L5,27.258266,0.019687605
MEOX2,3.288709,0.019673054
HNF1A,27.111752,0.020016282
AC092384.1,2.7188537,0.019819049
PIP5KL1,2.435034,0.019830236
DGCR11,2.5395217,0.020044294
DENND2A,2.0990942,0.020200093
AC010536.3,2.1740823,0.020912993
TGFB2-AS1,3.2377179,0.023001547
PITX2,2.7784688,0.023895783
CASC18,27.4455,0.026539846
FAT3,27.125471,0.028751826
AC027601.4,2.693839,0.028520472
CA9,26.93811,0.029614263
ATP2A1,2.1722448,0.029805045
AL159166.1,26.674395,0.030797447
KLHL30,2.9311736,0.030838618
AP002449.1,3.3829098,0.033198525
AC092338.3,3.5661075,0.034585945
SIK1,2.049025,0.034445519
CADPS,3.0641205,0.041469194
AL023803.2,2.021245,0.042537527
LINC01705,27.242462,0.043395159
AC109454.2,27.242462,0.043395159
AGRP,27.22634,0.043489701
LINC00305,27.048258,0.046176146
ZC3HAV1L,27.046692,0.047021519
AC006213.2,27.030022,0.047329191
AL445228.2,2.509157,0.047522831
CCL20,2.1755464,0.048867079
